B cells naive	B cells memory	T cells CD8	T cells CD4	NK cells	Monocytes	Macrophages M1	Macrophages M2	P-value	Correlation	RMSE
TCGA-30-1860-01	0.0400486286279053	0	0.217391263084255	0.00596100607645357	0.0599314177410187	0.0296283191590807	0.294694729054395	0.352344636256891	0.02	0.168599554040912	1.06513586384002
TCGA-29-1697-01	0	0.0206106931988686	0	0.112432408677638	0.0337918342770712	0.0339155452591777	0.18268413763426	0.616565380952985	0.47	0.0123323788260462	1.13130858774886
TCGA-61-1724-01	0.096599846892796	0	0	0.482718254902118	0.0398126030620855	0.0148266849253546	0.139922532147894	0.226120078069752	0.12	0.080806211341714	1.06879310571835
TCGA-29-2425-01	0	0.0722371029351373	0.016824981646475	0.109731166016566	0.0283155375132911	0	0.181623132248274	0.591268079640257	0.19	0.0599739523755198	1.10041772758384
TCGA-61-2109-01	0	0.0106455305256203	0	0.500612526542231	0	0.00463186508499841	0.029353114035624	0.454756963811526	0.16	0.066772055086284	1.07848297039613
TCGA-29-1778-01	0.0295688289430391	0	0.0564683681690104	0.146919387775626	0.0272498212342748	0	0.218958458932617	0.520835134945432	0.29	0.035903837202729	1.11359961307389
TCGA-24-1417-01	0.0977011976906779	0	0	0.174251977944577	0.0312128872336911	0.0256604362615139	0.145833182696148	0.525340318173392	0.01	0.207117917291979	1.01461213707667
TCGA-23-2078-01	0.246114739264033	0	0.163614245763781	0.205045548523836	0	0.0214585883365533	0.157056699150915	0.206710178960881	0	0.286453395059788	0.975869588546153
TCGA-24-1413-01	0	0.028259775252358	0	0.176753361682067	0.0351507132597971	0.0719176482511944	0.10683738467825	0.581081116876334	0.14	0.0696464973505654	1.08117071349481
TCGA-31-1959-01	0.0262316179004461	0.0228206240395992	0	0.184566390294413	0	0.0196920288542921	0.0646967906896194	0.68199254822163	0.01	0.210538798698871	1.02323832606712
TCGA-13-0800-01	0.0327739839513733	0	0	0.369484463524432	0	0.233896134175382	0.0326888288008182	0.331156589547995	0.94	-0.0278129601962974	1.10131838069666
TCGA-25-1326-01	0.0846621888644024	0	0	0.272680267981042	0.0537075691321563	0.0280083615822755	0.0764420935965407	0.484499518843583	0.02	0.147904061152274	1.03140261933056
TCGA-13-1403-01	0	0.032066006916548	0	0.41990994332431	0	0.0234616360001795	0.137905152830173	0.386657260928789	0.5	0.00776263619024434	1.09802879483353
TCGA-25-1322-01	0.0533380303869697	0	0	0.240168326546977	0.0228254780774485	0.00122439853510161	0.151845706609677	0.530598059843826	0.17	0.0656341021405615	1.08137625095574
TCGA-24-1558-01	0	0.0186720142170537	0	0.363041809042548	0.0423288983708848	0.00930680765669925	0.0688498284313817	0.497800642281433	0.07	0.0966896257619796	1.05895234810514
TCGA-24-2288-01	0.306273408595152	0	0.135850946281387	0.0252717272045862	0	0	0.267806085531442	0.264797832387433	0	0.310459530014996	0.983958307449626
TCGA-25-1626-01	0.102944845725174	0	0	0.230377658091829	0.0228931610877334	0.0672367276962604	0.0728007912749375	0.503746816124065	0.03	0.128831862298499	1.04050837023293
TCGA-24-2035-01	0.12282046096444	0	0.0449172792414376	0.0644428415753025	0.00424003577232978	0.109042202166076	0.100428082929846	0.554109097350568	0.02	0.15006585109611	1.04261307924535
TCGA-57-1584-01	0.00958409380023595	0	0	0.663465802036042	0.0542970635979065	0.0100250417542044	0.00179372940728082	0.26083426940433	0.43	0.0160078929503878	1.12240364653391
TCGA-61-2012-01	0.147422126407621	0	0.0717461006932005	0.0734812898327135	8.72501072241798e-05	0.0305224077730667	0.374830351340749	0.301910473845425	0.05	0.109669348887439	1.12753839424997
TCGA-23-2084-01	0.00651203977698423	0.00536748298451153	0	0.506832636648919	0.030206039880214	0.0675275912649285	0.126718581083932	0.256835628360511	0.13	0.0744057406490876	1.07157397014367
TCGA-29-2414-01	0	0.124501045343646	0	0.36813117906191	0	0.0268279697022234	0.00430454195034567	0.476235263941874	0.2	0.0574227176898473	1.07207646415592
TCGA-24-2281-01	0.0130180109981093	0.0507420498482192	0	0.206201890095372	0.0539370470611233	0.00210863992557572	0.198370534538777	0.475621827532824	0.0600000000000001	0.100709689333087	1.07084674815867
TCGA-24-1422-01	0.0213211284756019	0	0.0176977860840077	0.106034609784653	0.0828133305871951	0.0732729268617789	0.0685191648411438	0.630341053365619	0.07	0.0971192631195644	1.07477652925376
TCGA-25-1627-01	0.0754109016892925	0.013149203479448	0	0.284540753274948	0.0340575954282259	0	0.047385645467803	0.545455900660283	0.29	0.0371959655723274	1.08305774954439
TCGA-25-1635-01	0.0886430372957169	0	0.0740023490811056	0.0768144662817818	0	0.0652511787637197	0.0814419435778535	0.613847024999823	0.2	0.0569745286399556	1.08806094762116
TCGA-24-2297-01	0.116288312157864	0	0	0.255256219043487	0	0.099362893636807	0.127231670344034	0.401860904817808	0.6	-0.0010565930599504	1.0921226412058
TCGA-25-2409-01	0	0.0257646328861097	0	0.152768441844026	0.0701749284807264	0.0711001841673597	0.222894740355116	0.457297072266662	0.16	0.0669060310164873	1.0957815400642
TCGA-24-1469-01	0.112653235156628	0.0874528929105016	0	0.138091772572688	0.0571930583509371	0	0.26299427181934	0.341614769189905	0.01	0.176534349758837	1.04679218353942
TCGA-57-1993-01	0	0.0246210584276266	0	0.157148653498805	0	0	0.067747995492324	0.750482292581245	0.51	0.00674040594129949	1.1366876769851
TCGA-25-1321-01	0.000269861651587099	0.0604316920740051	0	0.330595667366044	0	0.236323336808728	0.119554342014474	0.252825100085161	0.47	0.0114278011881077	1.08389977314941
TCGA-30-1862-01	0.2060609165341	0	0	0.29407841670683	0.0623690623421889	0.043138993710464	0.0779793758809919	0.316373234825425	0.01	0.207061161214178	1.00248905727894
TCGA-23-1114-01	0.108075073827081	0	0	0.360766772193092	0	0	0.0437048868543394	0.487453267125488	0.91	-0.02440862954541	1.10571395972021
TCGA-24-1424-01	0.00378573082203922	0.0302889561076467	0	0.515547251120568	0.0699097517665799	0.027253001533715	0.121218067678754	0.231997240970697	0.21	0.056710355197776	1.08296913706364
