B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-30-1860-01	0.0705546575691513	0	0.0266746374047236	0.133579702433499	0	0.215008834888235	0.00623159296394897	0.0754885874684011	0.0211493332707352	0	0.0607299242408264	0.0102895344831605	0.0321807528242807	0.0119449627899399	0.169540686809338	0.155938191705699	0.000143895977098829	0	0	0.0105447051709634	0	0	0	0.203637950159537	1.01737354417081
TCGA-29-1697-01	0	0.011633419386132	0.00196621762459804	0.0372935511071057	0	0.0712695609642608	0	0.0919224326893417	0	0	0	0.11187540212232	0.022616922007661	0.173683783753728	0.0436495432432755	0.0472954031456539	0	0.197061102877224	0.189732661078699	0	0	0	0.4	0.0104341981656983	1.08937530400017
TCGA-61-1724-01	0.0862473836378417	0	0.0376902646487002	0.0392855950731108	0	0.198030114075075	0.00851707361999307	0	0.0158196856621738	0	0.0257581689251913	0.0108653657094355	0.0273029074013707	0.150825170990396	0.0982759776814241	0.26929440598684	0	0	0.0320878865884477	0	0	0	0	0.159909399407884	1.02094283613986
TCGA-29-2425-01	0.0896041306547865	0	0.0216268397367262	0.0311860978813576	0	0.132409766210053	0	0.0239893047977758	0.0327719945857728	0	0.0617469025005129	0.0167388963410009	0.00567213209685382	0.289647254636207	0.0892298961837356	0.190536637541237	0	0	0.0148401468339815	0	0	0	0	0.119402546960645	1.04845990126353
TCGA-61-2109-01	0.0387156794583393	0	0	0.0155839718480587	0	0.200465817688727	0	0	0.0583100926358339	0	0.00219287358271541	0.0494920096829534	0.0109192031101983	0.303895567447199	0.00761160620889082	0.250715137332976	0	0.0534263684353325	0.00867167256877517	0	0	0	0.1	0.0637441799449537	1.08164214157306
TCGA-29-1778-01	0.0816486700323239	0	0.0367552817638306	0.0691617352017404	0	0.280103798419197	0	0.0194430393036688	0.0482914044311542	0	0.0659096469009061	0	0.0137387528967704	0.0841718864630093	0.0954958604550697	0.183441922704949	0	0.0202948217110462	0.00154317971633428	0	0	0	0	0.185125890898597	1.01433845651642
TCGA-24-1417-01	0.0663178112863209	0	0.00599154421822131	0.0178939088844444	0	0.182755246306386	0	0.0110847388175471	0.0280378272634949	0	0.0375865472720282	0.0115285832111958	0.00707212930154528	0.204350160569261	0.057508707874919	0.239061640314863	0	0.11152274478589	0.0192884098938845	0	0	0	0	0.225398840873124	0.997230076231324
TCGA-23-2078-01	0.206755106070574	0	0	0.139419783364131	0	0.265702255015049	0.0352974412303888	0	0.00543166014074373	0	0.0599740196747075	0	0.0286110793020621	0	0.114289363106326	0.143255257490531	0	0.00126403460548696	0	0	0	0	0	0.249855232620147	0.993272516057262
TCGA-24-1413-01	0.00903690249267174	0.0328823145169329	0	0	0	0.126682749981384	0	0.0734373611981347	0.0168398250897423	0	0	0.057782623749423	0.0411835865836343	0.176336762028569	0.0431097739916175	0.0922151129817366	0	0.228768297097617	0.0916166967068844	0	0	0.0101079935816522	0	0.10743067955886	1.04665633889571
TCGA-31-1959-01	0.0378152314395344	0.0112232858235791	0	0.0434822942486694	0	0.283512721858694	0	0.00670099986891886	0	0	0	0.039409360075157	0.0400509440525596	0.0597692257464038	0.0322268705089537	0.368408111863497	0.00223829422661953	0.0351221532890204	0.0256316580894265	0	0	0.0144088489089671	0	0.20351490674432	1.00389634979181
TCGA-13-0800-01	0	0.0107469695599532	0	0	0	0.3122978042938	0	0.097324624833269	0.0085288841977788	0	0	0.0669633802841716	0.121112097367066	0.119977614154525	0	0.0188246233583069	0	0	0.229352548584247	0	0.014871453366882	0	0.5	-0.0156356437161391	1.0974230474905
TCGA-25-1326-01	0.0297911897311499	0	0.00481106392120365	0.0644301938739272	0	0.301559591927504	0	0.0243882781086397	0	0	0	0.0467997058708844	0.0286554457277977	0.0959332847936142	0.110871023733022	0.275792102513411	0	0	0.0152076989656703	0	0	0.00176042083317593	0	0.109119624538413	1.04980711363665
TCGA-13-1403-01	0	0.0194709168456959	0	0	0	0.311673039826543	0	0	0.0149660588092462	0	0.0566368953148157	0	0.00261836848199958	0	0	0.196043187244031	0	0.397221243694107	0	0.00137028978356192	0	0	0.3	0.0326577170727604	1.1124540048426
TCGA-25-1322-01	0.092715856710281	0	0	0	0	0.160174974627353	0	0.0396514571755612	0	0	0.0140036168940712	0.0250912054595332	0.115572625340313	0.0159819115309441	0.0148095001512066	0.34202073646686	0	0.153542982865213	0	0.0158728238379283	0	0.0105623089407356	0.1	0.0634009449309953	1.05813154744791
TCGA-24-1558-01	0.0038959363102145	0.00460301243738001	0	0	0	0.152123221237171	0	0.0319031343874341	0.0245697566298515	0	0	0.173545954833339	0	0.409437062463849	0.00184933437280436	0.157316630354728	0	0	0.0407559569732299	0	0	0	0	0.113283626532026	1.08182881408302
TCGA-24-2288-01	0.11830549899184	0	0.0620531830299749	0.0942826820945941	0	0.298579265710171	0.0159473123401335	0.0410353679731274	0.0030287845900387	0	0.0506291667837839	0	0.02484127764623	0	0.118122553518726	0.17000896087216	0	0.00223510302382415	0.000930843425396539	0	0	0	0	0.254618695275133	0.988058339505485
TCGA-25-1626-01	0.0854369633756807	0	0.00206350863984147	0.0778367820916511	0	0.265667719813109	0	0.00649711223196093	0.00938975088631905	0	0	0.0346272264399855	0.0569152971565127	0.0364874307937471	0.0263197704725582	0.265816507093181	0	0.0353950686546353	0	0.0871705840215051	0	0.010376278329312	0	0.132372643152055	1.03018652250197
TCGA-24-2035-01	0.087064502278351	0	0	0.0580188211478818	0	0.2037041731672	0.00530595970847665	0.00835814154743202	0.0194951321140884	0	0.045743240693159	0	0.0819728044820475	0	0.0694714893152149	0.37287043395606	0	0	0.0292162565143191	0.000920372135517862	0	0.0178586729402524	0	0.141554846987473	1.026299189619
TCGA-57-1584-01	0.00401074173681769	0	0	0.0166412339475036	0	0.182957545722291	0	0.0262297429200033	0	0	0	0.0476182498007435	0.137833540270133	0	0.0140915751695812	0.402034348422453	0	0.12023096498946	0.0483520570210135	0	0	0	0.2	0.035816108335497	1.07310652223041
TCGA-61-2012-01	0.103371017147085	0	0.0653072594791385	0	0	0.235151864710612	0	0.010792739573732	0.00470305590460047	0.0147200629535554	0	0	0	0.343204352935948	0.143266958155038	0.00240409539546597	0	0	0	0.0516487970534275	0	0.0254297966913971	0	0.189949974802827	1.0264981687024
TCGA-23-2084-01	0.00135217074815447	0	0	0.0139405530997145	0	0.200329917557802	0	0.0338797815250922	0.00291816454369531	0	0	0.0499606724295397	0.195290814961913	0	0.0198188976212514	0.287473555461261	0	0.15913905925969	0.0358964127918867	0	0	0	0.1	0.0587474114719993	1.06137709489813
TCGA-29-2414-01	0.13048887806927	0	0	0.0443197480776827	0	0.309043867521627	0	0.0034713569055566	0	0	0.0346211612618145	0	0.0201772084761776	0.151539262184497	0.0389389761411442	0.251536405347452	0	0	0	0.0136712622216382	0	0.00219187379313943	0.1	0.0671941243954604	1.06293245941415
TCGA-24-2281-01	0.0332384363253177	0	0.00662345954371381	0.0655259750721993	0	0.123701089148053	0	0.0309154737644323	0.0877950489616311	0	0.0162941332028652	0.0105265724465389	0.0306469910337343	0.390248891546821	0.0693586458909658	0.135125283063727	0	0	0	0	0	0	0	0.101588974176215	1.07189304718321
TCGA-24-1422-01	0.0607310297985105	0	2.82344712773764e-05	0.0758317858811789	0	0.213140592595634	0.00282607525457254	0.0100465952783199	0	0	0.0347978755014308	0.0412498892312127	0.0949199959313755	0.0271478051203507	0.0464211247634692	0.387914619551843	0	0.00494437662082477	0	0	0	0	0	0.105291508089839	1.0467211733125
TCGA-25-1627-01	0.0958143234485489	0	0.018986577986662	0.00674667229883333	0	0.181718008087728	0	0.00606038922292336	0.035183760240591	0	0	0.0707152532135786	0.021850465647963	0.249923885268386	0.0388680157993762	0.263355178689808	0.00333449402972637	0	0	0.00200949233255093	0	0.00543348373332406	0.1	0.0903744347656432	1.06086833498391
TCGA-25-1635-01	0.088928806080597	0	0.00852381670260076	0	0	0.293799289934313	0	0	0	0.00317004456402421	0	0.026119606408995	0.00693388741051123	0.129667062671682	0.0578829545098515	0.277349967980779	0	0.0385708187607085	0.0690537449759379	0	0	0	0.1	0.0784570543034441	1.0512556576376
TCGA-24-2297-01	0	0.0342649492480869	0.00280507301295389	0.0320806141030165	0	0.296880181751637	0	0.0456476942077096	0.00428466623659326	0	0	0.043137330465938	0.119410263819222	0.112558188022779	0.0342803030487027	0	0	0.0753312854930369	0.18328537929833	0	0.0160340712919937	0	0.5	-0.0109275511048031	1.08267697585618
TCGA-25-2409-01	0	0.0221999440162546	0	0	0	0.167797310689065	0	0	0	0.0104578888343169	0	0.068530694606495	0.0354626322769428	0.167115112422951	0.122190477038607	0.236170026583362	0	0	0.170075913532006	0	0	0	0.1	0.0910534882840773	1.05407084887781
TCGA-24-1469-01	0.108506867207805	0	0.00342032546162667	0.0219631556995861	0	0.138933175512243	0	0.0321199180139315	0.0630995043503064	0	0.00365810150659359	0.0361471934125574	0	0.336750736724584	0.121500124688882	0.127560409851705	0	0	0.00634048757018054	0	0	0	0	0.137587727713429	1.049323170907
TCGA-57-1993-01	0	0.00222507911797801	0	0.0610673117177293	0	0.180153656500315	0	0.0161502447000895	0.0578988416778842	0	0	0	0.032580028705865	0.325537314674966	0.0306907870004517	0.120992905472895	0	0	0.170321441933295	0	0	0.00238238849853008	0.1	0.0673284162242548	1.07203387247479
TCGA-25-1321-01	0	0.0368475934721207	0	0.0485031399142907	0	0.258243995923179	0	0.0376364665824309	0.0385527854994111	0	0	0.0548431931980374	0.0996913858305424	0.15321459797782	0.0213638083573534	0.0678262071640355	0	0.0095741810542481	0.165623874239204	0	0.00807877078732678	0	0.3	0.0319835735587932	1.06783833759012
TCGA-30-1862-01	0.0817769433617744	0	0.0236613239547619	0	0	0.466576524564585	0	0.0260766929120215	0	0	0.0553153039767298	0	0.0123290871431518	0	0.096601224948789	0.212561325459042	0	0.0109029959146915	0	0.0141985777644523	0	0	0	0.10757672776219	1.05463615214255
TCGA-23-1114-01	0.0301709724216202	0	0	0	0	0.291576512543279	0	0.0272770130249415	0	0	0	0.011182833807008	0.0118977083278271	0.254580628697367	0	0.150811096144366	0	0.208242802315727	0	0.0142604327178634	0	0	0.3	0.0154894983355423	1.10004608268073
TCGA-24-1424-01	0.0622940196110344	0	0.0170131155654744	0.0365964546199511	0	0.182256558280968	0	0.0620781278886698	0	0	0	0.0414646968557038	0.0544002158200901	0.107636631733233	0.0949284316414291	0.275622488258184	0	0	0.047837474642086	0	0	0.0178717850831765	0.1	0.0684798765515975	1.05493569090696
TCGA-57-1583-01	0	0.0417936807647297	0	0	0	0.116669245261707	0	0.00746105774394483	0.0363405878963801	0.0107164256008019	0.00484349348738209	0.0298402927363888	0	0.523308856351904	0.00428362675861809	0.213519273132579	0	0.00166459869298935	0.00955886157257509	0	0	0	0	0.153304680396284	1.08340519715867
TCGA-24-1928-01	0.0328188851715147	0	0	0.0524608196781706	0	0.328122971263835	0	0.0149674536769446	0.00991394631617551	0	4.0146137607116e-05	0.0264089336709338	0.0243356919058966	0	0.0817322157004153	0.421167899621602	0	0.0080310368569048	0	0	0	0	0.3	0.0266541635263224	1.08822479634203
TCGA-25-2393-01	0.148833359609199	0	0	0.0741624277196685	0	0.139434635603372	0	0.0394622699625307	0.0232720349659008	0	0.00201808731832293	0.00514648210062355	0.0355257864278173	0.305692418884869	0.0385645259091267	0.155988963403444	0	0	0	0.0168441684653818	0	0.0150548396297435	0	0.129504549520904	1.04527176946485
TCGA-29-A5NZ-01	0	0.0250687135969123	0.013820618888271	0	0	0.344314978134089	0	0	0	0	0.0343613714677778	0	0.00569386666761043	0.270533123866826	0.0284498597604572	0.112656729098818	0	0.14164185868304	0	0.0234588798361987	0	0	0.1	0.0783082536167265	1.06885176607892
TCGA-OY-A56Q-01	0.06687677390026	0.0195885513441277	0	0	0	0.147393501307297	0	0.0250958900714169	0	0	0	0.105362381829198	0.00393279680513131	0	0	0.542979744807637	0	0.0517953227218709	0.0369750372130606	0	0	0	0.6	-0.0293022007313175	1.1133753822912
TCGA-61-2104-01	0.0766890698997832	0	0.00708860025627564	0.0236726189810039	0	0.183665061013406	0	0.022589441542664	0.0431032135530633	0	0.0180878494348701	0.00296320951907247	0.0151098849634857	0.136487763666256	0.151332480753455	0.219978725112793	0	0.0946738502067216	0	0	0	0.00455823109714975	0	0.150924627991242	1.03797605458474
TCGA-59-2348-01	0.0627921690937921	0	0.0540641368732617	0.0322400592463625	0	0.102025474271309	0	0.0442493607050899	0.0287065518058057	0	0.035735299472508	0	0.0128682374530636	0.265684293047898	0.0978138530093978	0.242142693185251	0	0	0.0216778718362608	0	0	0	0.1	0.0712116704266437	1.06922913318987
TCGA-13-1512-01	0.00730753021290036	0.0199375278580638	0	0.051030854882064	0	0.219605453736846	0	0.0199292236367884	0.00235987728587262	0	0.0112987033633615	0.0143636569672052	0	0.306884965918797	0.143800793168383	0.196820644787131	0	0	0	0.00666076818258787	0	0	0	0.141272750632461	1.05415441721517
TCGA-24-1563-01	0	0.0097165215714397	0	0	0	0.360295159288993	0	0	0	0	0	0.0507768273951855	0.030479991335352	0.110667827913116	0.037287968811873	0.249484697499586	0	0.0396908268610977	0	0.107349716864458	0.00425046245889928	0	0.3	0.0248211389181236	1.08298579873041
TCGA-25-1320-01	0.0717313028085794	0	0.0126440778013527	0.0640687665224872	0	0.24895463578705	0	0	0	0	0	0.0689837401875164	0.0369817091348854	0.244403473684025	0	0.167464111991696	0	0.0713440615981578	0.0134241204842496	0	0	0	0	0.13428488570441	1.03760713486643
TCGA-24-2027-01	0.244911549517352	0	0.00275052094468602	0.0432502670470091	0	0.170089494900828	0	0.0108571076305559	0.0357466245153447	0	0	0.0804358529389183	0.0270790395053039	0.031483890362105	0.0731665065803438	0.268958836937882	0	0	0.0112703091196709	0	0	0	0.9	-0.0561468859399676	1.11767045303208
TCGA-61-1725-01	0.0462987237222808	0	3.58806358816936e-05	0.0764150174938019	0	0.215696965473798	0.00149879419068708	0.057064999837794	0	0	0.0233639073215875	0.00662144198950428	0.00143289595227582	0.0124417091113408	0.118398734098757	0.370870695056576	0	0.0207189283072163	0.0161412091437732	0	0	0.0330000976647255	0	0.15733997154909	1.02786462380869
TCGA-61-1998-01	0.00382819735937318	0.00282341906087333	0	0.0229625200321642	0	0.177681766241499	0	0.015884978150403	0.0140767569160026	0	0.00451251783940884	0.024032523905484	0	0.504995580435828	0.00606230965036086	0.190052918489792	0	0	0	0.0296008596826574	0	0.0034856522361536	0	0.266873487226115	1.01552857727385
TCGA-23-1123-01	0.0708870986769092	0	0.00754599074561535	0.0980621817292165	0	0.204501081962313	0.00548581569573209	0.0547177830323624	0.0309703812083404	0	0.0717456360511266	0	0.0333647590628524	0.0157269723549593	0.0837868418992707	0.267080860274877	0	0.055954597092433	0.000170000213991114	0	0	0	0	0.162322850512349	1.02247444296761
