B cells naive	B cells memory	T cells CD8	T cells CD4	NK cells	Monocytes	Macrophages M1	Macrophages M2	P-value	Correlation	RMSE
TCGA-25-1315-01	0	0.180408919169779	0	0.204640695397086	0	0.146992210074428	0	0.467958175358707	0.4	0.0506970442863169	1.07406578532214
TCGA-24-2297-01	0	0.217088129738887	0	0.241322018977094	0.0113590922484028	0.16024243898034	0	0.369988320055276	0.37	0.0524879757898051	1.06664046459011
TCGA-09-0369-01	0	0.035992270014594	0.0765896043192502	0.0769083177941555	0	0.157641160773571	0.0407322010586017	0.612136446039828	0	0.183721393136118	1.03283638263296
TCGA-13-1512-01	0	0.128211250289235	0	0.195038435647749	0.0629216764398053	0.122729017229603	0.0769314785105695	0.414168141883038	0	0.192063356889904	1.00818759984141
TCGA-29-1761-01	0	0.177508092838199	0	0.259059410640748	0.0632721032655884	0.0874262206712944	0.0679351806740204	0.34479899191015	0	0.203998534993115	1.0006181969324
TCGA-24-2293-01	0.105592548808619	0	0	0.226813431951207	0.0359534389885096	0.0741900305097036	0.0144893517007414	0.542961198041219	0	0.22220762901924	1.00229222519309
TCGA-29-A5NZ-01	0	0.145698907896719	0	0.424591049106096	0	0.0610236431585831	0.00218446580065489	0.366501934037947	0.15	0.0979365914658254	1.05202160063549
TCGA-61-2113-01	0.00437534215611294	0.104773775066421	0	0.328685806032064	0.0549133051134175	0.0745347251032848	0.0506196266026484	0.382097419926051	0	0.17139603975621	1.01573900355713
TCGA-24-1435-01	0	0.146024077785588	0	0.206092212642866	0.00696384028084104	0.0825942727154272	0.0499373671420362	0.508388229433242	0	0.237717540086581	0.993205891130755
TCGA-24-1474-01	0	0.086098133088751	0	0.267673366663776	0.00229156978835315	0.244697676643643	0	0.399239253815477	0	0.176470569522922	1.01976526789563
TCGA-09-2048-01	0	0.00738274501042471	0	0.216504468972658	0.0105570064407836	0.195078872888634	0.0609180624003619	0.509558844287137	0.04	0.128869831702837	1.04904389013473
TCGA-59-2348-01	0.0673965280957896	0.134114441830303	0	0.20996793260101	0.0533919364208199	0.133996482261197	0.0548568407392259	0.346275838051654	0.04	0.130269477342224	1.03093695698343
TCGA-61-1900-01	0	0.356592472162124	0	0.23237701763269	0	0.0682304829458499	0	0.342800027259336	0.2	0.0780812882741155	1.06764425297145
TCGA-24-1562-01	0	0.0921965918279439	0.0703294025913271	0.243096957185557	0.0264244087323857	0.123300729521472	0.0380545567525994	0.406597353388715	0	0.182784595418184	1.01155737560436
TCGA-24-2290-01	0	0.112320119151288	0	0.236054510621168	0.02206665377097	0.117289388093655	0.0574427231511099	0.45482660521181	0	0.207156385134959	1.003336367694
TCGA-29-1695-01	0	0.143556915913815	0	0.141033954664406	0.0218651084358028	0.0710980382854809	0.0288493215824074	0.593596661118088	0	0.258396695753888	0.990173535947502
TCGA-24-1546-01	0	0.13179593464886	0	0.12985691490335	0	0.0888075705629232	0.0258884250559187	0.623651154828947	0	0.198753215510723	1.02337869295591
TCGA-13-A5FT-01	0	0.318269935847981	0	0.321446042416937	0.0177062576019751	0.12794025165103	0.0598440450495137	0.154793467432563	0.09	0.11821488053645	1.04379535301132
TCGA-23-2078-01	0.222361087083489	0.011571119908216	0.106528012056175	0.246941022971968	0	0.0858201456669641	0.0535840399614969	0.27319457235169	0	0.2113551670365	1.00143997278832
TCGA-24-1924-01	0.161211619807533	0	0.117284798404537	0.0354913766525665	0.0218317390456809	0.0991117854517867	0.0452752932672606	0.519793387370635	0	0.219448459621714	1.00359581160167
TCGA-25-2042-01	0.0616028543719344	0.10568627485704	0	0.311887942145607	0	0.106682579548932	0.0170151389934889	0.397125210082999	0	0.173205174918401	1.0166221055545
TCGA-24-1413-01	0	0.230244577212307	0	0.17164460801019	0	0.186697471503351	0.0656892488341173	0.345724094440035	0.09	0.113759661459877	1.04179269492644
TCGA-25-1630-01	0.037174889313661	0.0507905129284975	0	0.219988928568809	0.0476363369920541	0.0942850106419889	0.025322007100322	0.524802314454668	0	0.27525589738184	0.976917265987966
TCGA-24-1417-01	0.126515795524224	0	0	0.23604080873313	0.118847249326965	0.0807842028701521	0.0405850108129319	0.397226932732597	0	0.230637324187862	0.992889677040206
TCGA-24-2288-01	0.221168516562381	0	0	0.333504860230586	0.0623744520637507	0.0928832177841968	0.0696408139612396	0.220428139397846	0	0.171682262452718	1.01791721301071
TCGA-09-1670-01	0	0.0841968574216167	0	0.238708145340531	0.0236656901671531	0.188515376425456	0.0463228128610528	0.41859111778419	0	0.188927145259095	1.01105668223051
TCGA-25-2392-01	0	0.115211305490491	0	0.203507771729224	0.0287745238077259	0.080698638687801	0.0376875133823817	0.534120246902377	0	0.230450589887923	0.997644834133319
TCGA-24-1551-01	0	0.200164776249465	0	0.191827139381446	0.099227423231972	0.137000328855975	0.0523779380199419	0.3194023942612	0	0.215225551118704	0.996608546698434
TCGA-31-1959-01	0.117713641804777	0	0	0.329749735623997	0.058986672753339	0.070735699122229	0.0280777975383034	0.394736453157355	0	0.254198720406505	0.981794820807053
TCGA-25-1633-01	0.184640774296033	0	0	0.246952654929853	0.0492545102747496	0.0955149111782565	0.0502481069719096	0.373389042349198	0	0.204408132241244	1.00208242641549
TCGA-25-2396-01	0.0350978927782828	0.108740648198069	0.0814429120126474	0.0813070887842503	0.0578467690757384	0.117574268919753	0.0815299324134251	0.436460487817835	0	0.189067363281034	1.01157409736796
TCGA-23-1026-01	0	0.137310580763999	0	0.162021810007692	0.130973420590108	0.0516300818745836	0.0598590132109086	0.458205093552709	0	0.225922932522231	0.998152438791675
TCGA-24-2261-01	0.0523684547433185	0.0348339820685436	0	0.253375709048237	0.0733103624013288	0.0690678007451473	0.0355632838847225	0.481480407108702	0	0.218272337739867	1.00002526426973
TCGA-61-1998-01	0	0.104239565291394	0	0.29365288233557	0.0654578511060841	0.127312236649578	0.0240474375628038	0.38529002705457	0	0.215705426862223	0.997323509506089
TCGA-23-1029-01	0.0950123841273463	0	0	0.314794360134416	0.0606293776660708	0.173619652997936	0.0618333398261734	0.294110885248058	0.22	0.0712130278102807	1.05388150045824
TCGA-61-2003-01	0.146151248028019	0	0	0.171794906352597	0.00863512985886407	0.0991140516653302	0.0207431902845872	0.553561473810602	0	0.23317463469218	0.999824340023294
TCGA-24-2038-01	0	0.141122049292319	0	0.273324142451752	0.0676171437154788	0.137698074321523	0.00110456566336674	0.37913402455556	0.15	0.0980069276305806	1.04614858748749
TCGA-59-2351-01	0	0.223011424441476	0.0288342996965705	0.0920989411325466	0.0237673728090759	0.103326849767592	0.0258805816444106	0.503080530508328	0	0.226077571815554	1.00075551021893
TCGA-61-2000-01	0.122564238560244	0	0	0.151660168260233	0.12236881442019	0.103062877963942	0.0512747294742354	0.449069171321155	0	0.223258432967433	0.998854805954099
TCGA-25-2404-01	0	0.137441696730477	0	0.342630533205632	0.0694418708299289	0.0948846971749182	0.0334044666569372	0.322196735402106	0.04	0.129410026724223	1.03196457580813
TCGA-24-1424-01	0.0226991963474053	0.12077433015333	0	0.260203962995829	0.0485829885310112	0.148011206163838	0.0246158688815745	0.375112446927012	0.01	0.146711096534499	1.02481078752223
TCGA-61-2111-01	0.0437190026695876	0.0581627960217739	0	0.239531640633687	0.0528038321449643	0.0694120114739227	0.0427009215257824	0.493669795530283	0	0.205706846225103	1.0055951038484
TCGA-31-1946-01	0.0173598126823596	0.0890452238479948	0	0.265261028100242	0.0509574388216862	0.0298682743762617	0.0439324424578508	0.503575779713605	0	0.216286746240477	1.00169100846841
TCGA-24-2033-01	0	0.242917104727056	0	0.244756540296587	0.0488478555203173	0.0535637772121563	0.0365957574212899	0.373318964822594	0.18	0.0846953387856302	1.0523806758955
