B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-25-1315-01	0	0.0380288206765125	0.0180824263400661	0	0.0378560501415973	0.0225499972726372	0	0.102383272146573	0	0	0	0.142768567517218	0.0481583416324825	0	0	0.470699242504974	0	0.11663967865801	0.00283360310992921	0	0	0	0.4	0.0215128916714577	1.09297448901284
TCGA-24-2297-01	0	0.0383642282124156	0.0386264261535962	0	0.177559692581691	0.023854446343194	0	0.0671704408903202	0	0	0	0.183396318623532	0.0689372653782216	0.0741617065331026	0	0.285306722328069	0	0.0426227529558581	0	0	0	0	0.4	0.0306837235291956	1.08552583266574
TCGA-09-0369-01	0.0202781062509933	0	0.00647723291976301	0.0609151885179831	0.160510537077713	0	0	0.0196101139452371	0.0201664339396236	0	0	0.115920916174648	0.0560622559488994	0	0	0.523715670335707	0	0	0	0	0	0.0163435448894321	0.1	0.145764742005785	1.04512704878392
TCGA-13-1512-01	0	0.130724973458317	0.0111211482553057	0.0424193412694587	0.107235828009884	0	0	0.117328616605712	0	0	0	0.151215399904385	0.0602270430180286	0	0.024938493400238	0.275588696462777	0	0.0303141144149633	0.0488863452009302	0	0	0	0.1	0.146804328736374	1.02803702918613
TCGA-29-1761-01	0.0498445271241421	0	0.0178042571469466	0.239835924240183	0	0	0	0.105139600068842	0	0	0	0.105295975996171	0.0466333163346929	0	0.0219334850466246	0.377177890953248	0	0.0104493885278995	0.011104404863327	0	0	0.014781229697923	0	0.1816877399588	1.02105633401402
TCGA-24-2293-01	0.046896521122692	0.0425947186610501	0	0.0704268005736343	0.164294497048644	0.00380041961242744	0	0.0212239634647582	0	0	0.00526117207003753	0.0901559644613044	0.047959215216034	0	0	0.405178280636595	0	0.0561176875697351	0.0164500684527725	0	0	0.0296406911103157	0	0.206000328223982	1.00386881388876
TCGA-29-A5NZ-01	0	0.0442605689268091	0.044006754730029	0.0296903147797632	0.243438131204702	0.03672717788561	0	0.0367582270854165	0	0	0	0.149919348781285	0.0400473636940765	0	0	0.323854607246759	0	0.0512975056655492	0	0	0	0	0.3	0.0813706799079536	1.06313263817423
TCGA-61-2113-01	0	0.0156051937756805	0.0222457548557567	0.068180659631811	0.141409025477744	0.0563483789183801	0	0.0136382526805923	0	0	0	0.113942472110266	0.043140481963115	0.00902087650740956	0	0.369653629226844	0	0.129173824602551	0	0.00193222905702773	0	0.015709221192823	0.1	0.159727101626314	1.02667929545337
TCGA-24-1435-01	0	0.105739697491992	0	0.116145945831588	0.0912533571395233	0	0	0.0106418644886751	0.012773054203322	0	0	0.179962897054732	0.048281892061834	0.0241682257597163	0	0.326263157196258	0	0.0847699087723589	0	0	0	0	0	0.181489362725582	1.02359218452631
TCGA-24-1474-01	0	0.0586420712719788	0.0261679980781036	0.0734260176984464	0.0632343712024116	0	0	0.0769960662755992	0	0	0	0.165693197423317	0.0591171014939911	0	0	0.347092877823103	0	0.0493885738328421	0.0212038791560905	0	0.0217179546478254	0.0373198910962911	0.2	0.104835273929477	1.04974946555144
TCGA-09-2048-01	0	0	0.0518222905223391	0.0318221633131987	0.0306204457121893	0.0203444986060439	0	0.12393544261552	0	0	0	0.11582232801701	0.0966953690577294	0	0	0.426693320046717	0	0.00461778710607692	0	0.097626355003176	0	0	0.3	0.0948013593191343	1.0594899812305
TCGA-59-2348-01	0	0.0716660247981901	0.0130240241922107	0.0260761374611888	0.0698178924010993	0.0272015370780497	0	0.175484459002312	0	0	0	0.184354182703355	0.0761480981249627	0	0.016010322718693	0.193259772415551	0	0.0139276173028874	0.103454416771168	0	0	0.0295755150303332	0.3	0.0628048027683103	1.06790666884295
TCGA-61-1900-01	0	0.0955981590818602	0.038913141543912	0.109549479499661	0.0755701192281452	0	0	0.103550777059023	0	0	0	0.18284939804092	0.0564607929627748	0	0	0.308536966188042	0	0	0.0259145999965111	0	0	0.00305656639915023	0.4	0.0248258985793897	1.0927189156583
TCGA-24-1562-01	0	0.0565711359437723	0.0524626223228129	0.00475514393877546	0.0398067110790942	0.1031789700299	0	0.139622770225588	0	0	0	0.245847921957521	0.0756943475607487	0	0.00977584416953027	0.25433134512236	0.0159197617889376	0.00203342586095896	0	0	0	0	0.2	0.13428698941684	1.05597920997511
