""	"TCGA-23-2078-01"	"TCGA-20-1687-01"	"TCGA-57-1582-01"	"TCGA-13-1410-01"	"TCGA-13-1405-01"	"TCGA-24-2271-01"	"TCGA-61-2111-01"	"TCGA-36-1574-01"	"TCGA-13-1505-01"
"A1BG"	37	3	33	71	95	25	19	25	27
"A1BG-AS1"	89	29	153	303	295	97	64	88	96
"A1CF"	6	0	3	0	3	1	0	1	1
"A2M"	21661	11906	9532	19541	32372	8759	12371	15036	34748
"A2M-AS1"	210	122	23	99	91	59	211	268	298
"A2ML1"	161	872	43	49	16	417	55	18	364
"A2ML1-AS1"	0	0	0	0	0	0	3	0	0
"A2ML1-AS2"	0	0	0	6	0	0	0	1	4
"A2MP1"	17	2	7	6	21	2	5	8	12
"A3GALT2"	5	2	1	19	8	3	9	1	3
"A4GALT"	667	2552	234	1644	1996	311	1284	10384	365
"A4GNT"	5	0	1	1	7	1	1	1	7
"AAAS"	6847	1762	6030	3838	3782	2352	2235	4517	4721
"AACS"	2065	596	1473	2754	2998	2327	1477	2353	1946
"AACSP1"	21	0	4	0	1	0	3	0	397
"AADAC"	397	10	203	134	50	291	15	145	308
"AADACL2"	10	4	19	1	0	3	0	1	2
"AADACL2-AS1"	9	1	3	0	3	5	4	6	3
"AADACL3"	6	24	2	0	1	36	1	2	0
"AADACL4"	5	1	1	0	1	2	56	0	0
"AADACP1"	158	6	31	9	23	104	28	248	15
"AADAT"	712	30	224	569	226	59	303	543	192
"AAGAB"	3930	1566	3404	2289	2046	1124	1582	4346	2581
"AAK1"	6596	2458	1506	27568	11926	2729	5000	2708	4200
"AAMDC"	815	715	305	792	1174	355	323	838	593
"AAMP"	9922	5746	7248	11067	14025	3380	3988	9423	6725
"AANAT"	91	10	10	51	32	20	11	28	14
"AAR2"	4446	2588	4774	6192	4118	1368	2094	4708	2851
"AARD"	63	338	100	195	679	100	4	435	148
"AARS1"	9178	1863	7060	10335	19970	2892	5337	18297	5223
"AARS1P1"	0	0	0	0	0	0	0	0	0
"AARS2"	1647	642	1036	6314	1262	584	1107	1281	1036
"AARSD1"	259	79	215	252	156	89	114	276	248
"AARSD1P1"	29	1	5	11	17	9	6	11	22
"AASDH"	996	401	1565	701	777	183	525	1254	1038
"AASDHPPT"	4395	2862	2427	2675	3063	1111	1182	5239	2303
"AASS"	354	42	38	267	156	135	62	134	392
"AATBC"	95	12	77	80	234	164	19	40	85
