""	"TCGA-31-1959-01"	"TCGA-24-2035-01"	"TCGA-25-1320-01"	"TCGA-61-1998-01"	"TCGA-24-1930-01"	"TCGA-13-0883-01"	"TCGA-29-1688-01"	"TCGA-25-2401-01"	"TCGA-30-1718-01"	"TCGA-61-1721-01"	"TCGA-25-2398-01"	"TCGA-25-1630-01"	"TCGA-09-0366-01"	"TCGA-24-1428-01"	"TCGA-59-2354-01"	"TCGA-29-1701-01"	"TCGA-29-1695-01"	"TCGA-29-1761-01"	"TCGA-61-1919-01"	"TCGA-31-1953-01"	"TCGA-29-1781-01"	"TCGA-23-1109-01"	"TCGA-24-1550-01"	"TCGA-61-2003-01"	"TCGA-30-1891-01"	"TCGA-23-2077-01"	"TCGA-29-1784-01"	"TCGA-29-1690-01"	"TCGA-29-2427-01"	"TCGA-13-0924-01"	"TCGA-13-1411-01"
"A1BG"	22	2	45	11	13	15	27	25	23	15	22	17	45	120	34	8	17	15	24	59	24	40	64	37	8	14	22	9	14	14	38
"A1BG-AS1"	156	46	138	24	81	78	129	95	126	60	163	92	190	534	116	51	97	33	98	186	359	113	315	117	69	107	151	46	27	55	145
"A1CF"	2	1	2	0	0	0	2	1	1	0	1	2	1	3	3	0	0	0	0	0	0	2	1	3	0	1	0	2	8	0	2
"A2M"	22536	25377	16386	6725	30189	17021	18264	26151	15146	40510	9277	14007	57935	50762	44520	6979	32339	10680	13467	30843	20624	12901	145314	37908	12551	40388	22841	14783	46091	23395	23289
"A2M-AS1"	135	129	176	43	228	149	58	92	98	241	154	193	202	276	214	145	195	251	93	123	180	83	166	251	174	344	285	166	34	43	229
"A2ML1"	5381	24	168	10	17	13	4	3	18	19	39	33	64	14	89	651	1910	2430	45	16	15	17	398	10	0	39	505	14	64	53	27
"A2ML1-AS1"	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	18	0	0	0	0	0	0	0	0	4	1	1	0	0
"A2ML1-AS2"	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0
"A2MP1"	4	6	3	2	15	2	9	3	16	11	17	3	34	10	9	8	5	1	5	6	12	7	4	5	8	5	1	7	4	0	6
"A3GALT2"	4	6	11	1	10	2	2	4	41	1	12	3	39	77	12	7	4	7	0	19	21	25	11	4	0	29	10	3	0	0	5
"A4GALT"	2045	448	1005	303	918	853	487	613	1834	811	603	3582	4206	1275	1851	332	620	938	439	387	789	253	1113	1531	897	703	1087	8939	1597	675	1012
"A4GNT"	3	0	10	0	7	17	3	2	0	5	9	0	11	15	6	0	2	0	3	4	0	5	5	6	0	0	0	3	1	0	1
"AAAS"	2717	2225	4632	1635	4880	3168	2534	2324	1971	1751	4030	2349	9212	9477	5427	1901	3838	3293	2229	4070	4427	3900	4488	2605	2549	3066	4849	3104	809	2243	3440
"AACS"	1914	642	3268	1032	1393	1541	1080	1335	2140	660	2076	1274	6807	3998	5391	2342	2087	2099	953	2754	1508	1291	1696	2170	1312	1273	1563	2310	880	1518	3114
"AACSP1"	2	39	6	1	0	0	0	1	1	0	0	1	5	13	31	3	1	8	74	0	0	4	3	12	2	0	5	0	2	0	274
"AADAC"	186	1043	455	78	928	173	19	73	498	26	74	54	551	480	224	222	788	51	744	492	64	276	144	82	192	476	122	82	270	54	160
"AADACL2"	9	39	5	1	8	3	0	0	0	8	2	1	11	21	3	102	0	2	2	7	0	18	17	0	0	4	1	0	5	0	15
"AADACL2-AS1"	1	6	19	0	15	4	5	0	3	1	5	6	13	15	5	0	8	5	11	17	1	32	6	1	2	6	4	2	8	0	1
"AADACL3"	0	46	1	16	9	0	2	0	1	0	0	0	2	33	28	0	1	0	7	1	0	2	4	1	0	17	11	12	40	3	1
"AADACL4"	2	2	0	2	0	0	1	0	5	0	0	2	38	3	0	0	1	3	0	0	1	1	10	0	1	0	0	0	1	0	0
"AADACP1"	17	70	116	11	540	152	26	4	112	11	40	178	533	350	98	8	279	94	659	399	28	536	22	24	14	69	40	95	104	12	52
"AADAT"	445	84	298	96	173	319	345	185	286	284	469	157	53	195	618	712	110	122	213	134	156	454	233	196	122	85	363	273	31	198	340
"AAGAB"	2326	1672	2201	1442	3083	1974	1763	2200	2443	682	2325	1540	6325	4935	4774	3285	4557	4189	1912	2379	3234	1323	2723	1761	1585	1435	2823	2266	1270	2074	2862
"AAK1"	2797	2793	7412	1277	3498	1913	2638	3387	4388	1837	3442	2685	11479	12883	6351	1349	5588	1765	2352	6672	4228	2860	8801	8300	2854	5476	1969	2262	2376	2396	6162
"AAMDC"	440	419	359	283	604	402	629	504	824	939	526	301	42330	1958	942	1230	1355	1036	745	932	872	1069	1011	568	815	1334	499	585	451	754	1103
"AAMP"	5485	4116	9473	3457	5253	4265	3509	9611	10127	3577	4775	6885	18015	15573	12121	3724	10736	5476	7294	4657	9113	5118	8372	8124	2351	10403	6182	4904	3540	4201	13334
"AANAT"	15	29	22	9	36	11	25	33	7	2	3	12	314	150	51	5	12	12	11	67	18	38	12	50	6	14	23	25	10	4	33
"AAR2"	2863	1679	4324	1771	3928	3780	1991	2498	2876	1984	2759	2944	12447	8202	6103	3422	4444	4406	2430	3399	5984	4651	6809	4241	1401	3449	3844	2636	1108	2221	2890
"AARD"	137	35	541	36	75	33	1048	123	1010	5	204	30	82	660	223	206	332	282	60	466	750	329	130	137	186	881	260	29	767	414	87
"AARS1"	6886	3059	14460	3687	5632	6256	7226	5041	9596	2801	7426	4105	15256	22859	17842	3456	12823	5269	4974	7551	6311	5139	7376	6571	3622	8259	7097	3841	3966	3682	11838
"AARS1P1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AARS2"	1461	650	1160	1167	1356	1418	1028	1640	1408	525	2461	1128	2851	5559	2107	485	3464	756	932	2309	1293	1855	2346	1563	280	1517	937	796	584	1031	2013
"AARSD1"	116	67	257	48	212	149	136	80	139	116	137	103	287	482	224	122	184	55	100	110	113	186	112	131	40	200	134	187	32	69	159
"AARSD1P1"	91	14	13	7	8	11	6	2	12	7	3	3	25	29	23	1	7	3	3	14	3	14	8	4	6	7	7	11	1	0	2
"AASDH"	942	514	1030	457	477	449	457	454	982	423	554	453	1157	1754	937	1841	649	621	577	558	447	643	888	466	778	694	724	668	264	307	711
"AASDHPPT"	1962	3509	1883	1404	2247	2620	1123	2048	3399	1554	1730	3816	1885	7750	5731	3081	3332	2078	3142	2169	1545	1986	5551	1719	2677	3566	2066	3171	1147	1480	2262
"AASS"	137	217	362	106	65	551	37	223	84	757	315	152	17	1211	371	51	224	71	239	210	107	248	85	272	61	100	19	98	35	33	210
"AATBC"	161	22	455	43	106	59	133	83	34	59	108	111	249	244	78	23	165	47	29	205	84	106	180	191	25	101	18	47	20	63	221
"AATF"	2994	1793	3076	1259	3902	3166	1845	2262	2472	1703	3332	1963	5097	6875	4372	1807	4261	1500	2252	3498	2017	2635	3192	4307	1486	2639	2394	4769	1398	2477	5142
"AATK"	294	182	215	134	435	212	67	215	124	176	175	2235	731	730	322	30	185	233	94	175	219	129	747	463	46	835	101	210	98	66	568
"ABALON"	40	30	76	15	29	55	28	22	88	26	47	52	94	140	78	50	68	32	27	93	24	209	103	116	16	50	78	42	18	36	76
"ABAT"	8014	1411	600	202	1672	1054	121	474	248	956	648	615	1257	1641	1863	453	5683	582	1274	1047	1398	1262	1788	734	3010	1030	3279	268	314	275	508
"ABCA1"	6420	2103	5957	1763	5939	2622	3080	4139	2416	2123	2217	3369	6050	3128	14703	2505	6839	3885	4071	5065	2414	2550	7583	6063	1305	2437	2068	2751	1521	704	7686
"ABCA10"	136	144	34	74	51	19	18	5	37	969	35	35	59	99	36	44	28	16	10	6	21	32	32	221	9	87	34	114	9	3	21
"ABCA11P"	15	59	120	38	86	71	56	29	136	51	67	81	63	140	48	62	89	132	47	82	33	75	153	68	51	41	116	88	23	33	86
"ABCA12"	91	132	67	8	12	136	18	21	15	11	22	53	102	119	127	4	69	11	12	10	17	17	265	26	25	34	23	33	10	13	20
"ABCA13"	1440	141	505	21	74	252	58	167	96	9	248	59	597	147	733	80	11	7	66	93	7	66	110	73	186	296	134	293	65	84	88
"ABCA17P"	37	58	241	42	70	106	26	25	88	35	133	21	239	200	14	127	53	204	20	139	98	488	323	99	57	286	137	737	34	23	57
"ABCA2"	3526	3126	6553	1976	1423	3149	962	1512	3296	1297	6052	4658	23735	3294	12669	181	4866	1830	1278	6046	2148	7224	4621	6788	2608	1875	2527	5289	1064	883	2129
"ABCA3"	3258	2441	2752	1217	1969	1095	898	2074	693	801	3021	895	10986	18060	4321	953	1359	1072	1461	5056	1698	2681	6361	2410	1705	3606	2560	2335	1685	210	3191
"ABCA4"	1159	60	150	142	281	224	77	64	698	122	389	86	704	791	298	259	885	137	173	134	363	627	158	2039	61	927	191	128	131	146	333
"ABCA5"	375	212	521	153	456	222	360	136	184	331	300	104	716	645	894	606	457	1157	154	592	284	955	627	412	110	176	444	565	108	113	425
"ABCA6"	253	515	173	152	100	132	64	111	279	2466	112	94	30	181	147	123	398	21	77	115	51	73	48	483	161	61	51	853	36	41	187
"ABCA7"	644	513	595	407	1399	706	1193	428	445	166	666	870	6016	4430	1275	302	1087	200	141	1336	827	1161	1050	1082	145	478	529	678	369	255	1271
"ABCA8"	522	1083	138	325	99	46	80	65	223	5287	87	149	84	109	486	146	338	29	75	181	28	59	245	1265	152	254	49	189	61	198	102
"ABCA9"	531	523	80	185	92	68	24	33	189	1510	58	97	44	301	55	47	175	0	26	26	22	65	55	932	15	225	34	324	17	34	134
"ABCA9-AS1"	3	8	0	2	6	3	0	2	5	6	0	0	78	6	10	6	3	1	2	2	0	1	8	4	0	1	0	5	5	0	30
"ABCB1"	187	190	77	49	126	1733	39	93	131	734	34	61	124	226	249	36	76	39	99	175	71	35	97	286	49	68	39	65	70	52	150
"ABCB10"	1109	676	1192	496	1083	1703	2014	1007	2286	560	626	1148	1277	2613	1959	1300	1767	920	673	1370	825	336	1704	1664	418	1741	815	1951	730	388	1660
"ABCB10P1"	11	0	0	0	0	1	0	2	3	1	3	3	0	0	6	0	3	29	0	0	0	1	8	1	2	1	0	1	0	0	1
"ABCB10P3"	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	5	7	0	0	0	0	1	1	0	0	0	0	0	0	0
"ABCB10P4"	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	1	6	0	0	1	0	4	0	0	1	0	0	0	0	1
"ABCB11"	3	10	1	4	3	6	1	3	0	0	0	2	34	10	3	0	5	0	0	6	0	0	6	0	0	1	6	3	2	5	6
"ABCB4"	35	40	78	27	95	176	34	64	33	33	63	22	108	105	109	44	99	39	46	76	40	48	33	51	37	93	39	24	39	12	269
"ABCB5"	3	24	23	16	0	144	0	5	4	35	61	1	6	1	8	7	4	82	5	5	0	7	19	3	12	0	0	3	0	7	14
"ABCB6"	158	131	395	182	216	210	182	165	518	251	383	317	314	581	778	105	280	81	190	165	332	242	482	349	22	439	353	196	119	128	522
"ABCB7"	1023	740	1686	633	1448	1228	783	876	1586	845	720	901	2433	2766	1684	1446	1108	1516	885	1407	1139	1090	2035	1476	1578	1466	956	1403	476	785	1204
"ABCB8"	1391	1852	3197	1238	3114	1515	1275	2590	1754	1041	2611	1419	5202	5366	2234	844	3367	2603	1303	2205	3262	1512	1638	3217	1279	3246	2257	1284	1126	3067	3781
"ABCB9"	353	171	1303	306	1781	447	1100	217	914	361	547	364	2556	2712	1792	219	482	634	348	1385	1216	883	1051	578	409	643	548	989	376	809	426
"ABCC1"	6964	2563	7050	2499	6448	5087	1379	1742	3696	1502	4036	5546	7968	9383	8528	912	9194	2263	2808	5695	2120	1773	6977	5854	3147	7430	3897	2956	1210	1955	9747
"ABCC10"	2368	773	1335	1492	2486	1389	928	1882	1619	793	2473	1754	5058	7023	3533	658	6951	541	1133	3543	1009	2151	4777	2993	352	2259	1025	1125	658	782	4311
"ABCC11"	36	12	36	15	23	20	30	18	17	11	13	17	42	86	59	19	71	12	26	142	25	21	35	11	11	84	19	17	199	12	21
"ABCC12"	1	0	0	1	0	1	0	0	1	11	0	1	0	1	7	2	1	1	0	1	0	0	1	3	1	8	0	1	1	2	0
"ABCC13"	3	32	11	2	0	1	0	0	5	1	3	0	9	11	19	2	0	5	10	2	0	0	1	3	0	6	9	2	3	4	9
"ABCC2"	10	63	46	8	86	69	32	21	12	20	20	24	89	143	132	24	19	10	26	29	21	74	51	33	8	41	57	45	8	7	24
"ABCC3"	747	298	1122	534	771	838	284	961	1719	183	1443	1777	10704	3997	3200	247	1954	432	1030	2074	585	1328	614	3907	453	736	590	7662	399	385	1622
"ABCC4"	1553	1257	7784	1278	3660	3091	9278	1273	3373	1218	1357	1999	3120	1225	4706	2136	3980	6613	1417	5919	4196	1929	1140	2129	4128	1649	5374	3112	364	1008	1603
"ABCC5"	4845	1045	5799	1466	6605	2005	2383	1333	1820	1583	2779	988	5111	6545	6427	1532	4363	1985	1764	2815	2169	3544	7476	4148	1262	4739	2640	1039	549	710	3165
"ABCC5-AS1"	1	0	2	0	7	0	3	3	3	0	1	0	4	9	2	5	3	0	0	1	3	5	9	1	0	3	4	1	0	0	0
"ABCC6"	166	47	140	53	120	89	88	34	182	35	268	129	1008	185	348	72	68	137	27	149	52	106	319	136	33	397	64	111	188	83	122
"ABCC6P1"	44	3	40	30	2	23	1	10	6	1	57	46	22	4	66	18	1	44	6	17	17	22	79	4	3	20	0	30	28	21	8
"ABCC6P2"	6	3	34	1	0	12	3	9	13	0	12	30	40	5	28	5	4	44	2	7	20	36	79	5	4	7	16	45	41	14	10
"ABCC8"	6	13	36	0	72	0	5	6	1	33	10	10	0	3	3	0	3	10	1	2	6	1	10	4	0	0	0	0	0	1	3
"ABCC9"	423	816	1433	271	487	380	2070	498	559	793	274	135	60	122	1263	237	1404	134	280	707	159	250	1808	568	493	193	77	337	160	269	763
"ABCD1"	2476	1469	1384	1173	8027	1404	2017	3078	3308	769	2153	1663	8251	6723	6496	1175	1493	649	981	3232	1850	1166	5305	3893	1067	1668	3150	1113	1777	2289	3405
"ABCD1P2"	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCD1P3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"ABCD1P4"	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ABCD1P5"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0
"ABCD2"	21	36	16	6	22	35	11	20	12	20	5	11	14	25	44	22	13	9	22	39	113	12	27	26	7	9	33	49	22	13	32
"ABCD3"	2739	588	2116	999	2313	1038	1292	1401	4065	1055	1119	2064	6476	3018	3650	1859	4110	5187	1429	2107	2037	1196	4751	3779	1967	1092	2752	1159	708	1150	2369
"ABCD4"	3111	1439	2557	1450	2027	3725	1453	1583	1350	1528	2700	1005	8851	6544	3722	1617	1603	1009	2442	2303	1932	2371	1932	3023	593	1831	2842	2188	627	1043	2641
"ABCE1"	2744	2831	7904	2563	2927	2941	3631	3584	7297	2640	2387	2876	4664	6643	9192	6509	6254	9064	5620	4587	3513	2971	4560	3654	2948	6148	3808	5292	2037	3573	5269
"ABCF1"	6986	2276	6642	3579	5745	4305	3629	6272	8424	1688	6797	3730	11434	13878	9908	2592	18401	3663	7359	9218	2184	5102	10131	9179	2020	6442	4084	2936	2022	4082	11547
"ABCF2"	1104	3012	5019	3088	6526	3665	3990	6989	5510	1559	4596	3844	6690	7103	6015	2705	9691	9297	3516	6167	9233	2609	4400	5535	5556	6137	5649	3676	1740	4461	7888
"ABCF2P1"	2	3	2	4	8	0	4	4	7	1	1	5	8	10	3	1	15	4	4	4	9	1	2	7	7	7	3	2	0	3	7
"ABCF2P2"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
