""	"TCGA-30-1860-01"	"TCGA-24-2288-01"	"TCGA-61-2012-01"	"TCGA-23-1123-01"	"TCGA-04-1365-01"	"TCGA-61-1738-01"	"TCGA-25-1633-01"	"TCGA-13-0916-01"	"TCGA-29-2414-02"	"TCGA-29-1785-01"	"TCGA-04-1357-01"	"TCGA-24-1924-01"	"TCGA-24-1842-01"	"TCGA-25-1628-01"	"TCGA-09-1666-01"	"TCGA-36-1581-01"	"TCGA-29-1711-01"	"TCGA-61-2008-02"	"TCGA-23-1026-01"	"TCGA-13-1498-01"	"TCGA-13-2060-01"	"TCGA-23-1120-01"	"TCGA-24-2261-01"	"TCGA-31-1950-01"	"TCGA-29-1776-01"	"TCGA-09-1667-01"	"TCGA-24-1553-01"	"TCGA-23-1023-01"	"TCGA-24-1549-01"	"TCGA-13-0897-01"
"A1BG"	15	34	44	42	7	20	18	108	30	17	8	45	38	34	4	50	4	19	21	44	30	124	65	8	4	13	50	3	16	17
"A1BG-AS1"	151	139	196	134	26	93	139	350	81	123	35	192	190	90	27	156	9	27	84	73	133	375	267	18	43	93	259	27	97	76
"A1CF"	0	2	0	2	1	7	2	0	16	0	0	0	1	2	2	1	0	3	0	2	3	9	2	1	1	0	4	1	0	0
"A2M"	25245	12063	26076	27877	17025	4563	28199	65803	7239	14165	17247	22904	13759	25343	40315	70118	14961	11454	24778	12726	13613	12573	36118	14000	6703	38464	27592	23392	9103	12251
"A2M-AS1"	62	150	990	823	163	72	170	422	609	140	137	206	79	220	154	216	86	179	41	210	310	260	195	181	275	232	386	108	124	46
"A2ML1"	296	10	35	466	37	379	288	791	508	12	141	120	47	62	54	614	11	12	23	117	88	21	14	337	24	45	265	327	226	49
"A2ML1-AS1"	3	0	0	1	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	0
"A2ML1-AS2"	0	0	0	13	0	1	0	1	0	0	0	1	1	0	0	3	0	1	0	0	4	0	0	1	0	0	1	0	0	0
"A2MP1"	5	22	4	18	22	3	1	18	23	4	12	7	6	14	0	11	1	10	0	7	16	8	10	7	2	7	6	4	3	3
"A3GALT2"	5	5	2	29	2	0	2	43	4	0	0	20	14	16	3	13	4	51	0	2	2	5	27	7	5	9	2	3	34	20
"A4GALT"	312	863	1926	975	870	1296	574	953	270	103	589	947	565	1261	298	452	554	340	2584	565	269	917	441	1038	1724	292	2409	1989	789	1481
"A4GNT"	2	3	0	8	3	0	2	11	1	1	1	1	2	8	6	3	0	30	1	8	0	1	12	0	6	3	0	1	5	1
"AAAS"	2554	3575	4127	6297	2363	2037	3478	14521	4628	2741	2291	3762	3667	3780	3995	4711	1882	2387	2628	4375	6591	3518	5563	8890	2610	3090	2575	2443	2424	2486
