""	"TCGA-24-1924-01"	"TCGA-25-1628-01"	"TCGA-13-0916-01"	"TCGA-20-1687-01"	"TCGA-13-2060-01"	"TCGA-23-1023-01"	"TCGA-20-1682-01"	"TCGA-30-1860-01"	"TCGA-61-1995-01"	"TCGA-29-1701-01"	"TCGA-09-0366-01"	"TCGA-29-2427-01"	"TCGA-09-1666-01"	"TCGA-29-1784-01"
"A1BG"	22	19	26	13	18	20	13	16	22	16	25	14	12	20
"A1BG-AS1"	23	15	23	11	20	21	11	23	24	16	26	13	11	23
"A1CF"	3	3	4	0	3	10	1	0	3	2	3	3	3	2
"A2M"	39	38	50	28	39	35	46	38	45	32	54	53	45	35
"A2M-AS1"	8	7	9	7	8	7	6	6	7	7	8	6	7	8
"A2ML1"	18	15	39	28	15	19	44	20	46	31	16	12	13	24
"A2ML1-AS1"	0	0	0	0	0	1	3	1	0	0	1	0	0	2
"A2ML1-AS2"	1	1	2	1	0	2	1	1	1	1	2	2	0	1
"A3GALT2"	4	3	5	1	1	1	2	2	3	3	5	0	1	3
"A4GALT"	33	34	31	36	16	35	33	25	25	18	35	34	20	30
"A4GNT"	1	3	3	0	0	1	0	1	4	0	3	1	2	0
"AAAS"	70	72	104	39	73	62	49	54	89	50	90	41	81	78
"AACS"	49	56	72	32	47	54	41	33	64	39	65	38	41	40
"AADAC"	8	8	8	3	9	8	17	7	11	7	11	8	13	6
"AADACL2"	2	3	4	4	3	3	8	1	10	15	7	4	4	2
"AADACL2-AS1"	5	5	5	1	3	2	2	1	4	1	5	2	4	3
"AADACL3"	3	3	3	4	2	2	8	2	4	2	2	7	1	5
"AADACL4"	0	0	3	1	0	0	0	2	4	0	5	1	0	0
"AADAT"	29	34	39	5	9	33	45	14	19	30	16	8	32	26
"AAGAB"	30	40	46	25	40	41	23	40	45	39	49	28	31	37
"AAK1"	62	82	76	58	77	73	56	54	91	55	94	64	81	57
"AAMDC"	58	47	58	45	50	47	43	41	53	53	108	38	50	44
"AAMP"	71	59	70	53	63	83	45	52	82	49	78	59	59	65
"AANAT"	14	10	11	3	6	9	4	8	13	3	23	6	4	9
"AAR2"	25	28	30	22	25	27	25	24	27	25	32	18	25	26
"AARD"	11	12	12	10	13	12	3	7	12	11	8	13	6	9
"AARS1"	26	39	44	18	28	31	25	26	41	22	39	23	29	31
"AARS2"	11	12	14	9	11	13	8	9	13	11	13	9	10	10
"AARSD1"	46	58	87	32	49	63	36	33	67	58	71	36	51	57
"AASDH"	44	37	58	25	47	50	35	34	41	63	48	26	45	33
"AASDHPPT"	22	20	25	17	16	23	19	17	36	22	20	16	17	20
"AASS"	16	20	28	13	25	14	12	11	15	12	8	8	24	7
"AATBC"	8	12	13	4	3	12	9	6	19	6	11	4	11	6
"AATF"	47	63	57	38	54	50	37	31	56	54	74	41	41	37
"AATK"	12	24	38	9	9	38	8	17	25	8	29	14	10	17
"ABALON"	5	7	7	4	5	7	4	4	6	6	7	5	5	7
"ABAT"	31	32	48	17	28	25	26	24	50	17	38	15	22	25
"ABCA1"	16	21	16	13	10	16	12	12	16	16	18	12	13	13
"ABCA10"	21	24	19	13	16	20	10	5	17	21	18	12	23	21
