Gene symbol	B cells naive	B cells memory	T cells CD8	T cells CD4	NK cells	Monocytes	Macrophages M1	Macrophages M2
ABCB4	555.7134486	10.744235	4.311280198	7.406441697	4.556712661	6.202495893	27.55771004	121.4322774
ABCB9	15.6035437	22.09478724	24.22372293	30.04819243	16.39614273	20.30942573	29.38087813	40.39026017
ACAP1	215.3059512	321.6210208	1055.613378	922.1527467	387.5817422	190.8790244	30.97425375	23.05515036
ACHE	15.11794931	16.64884729	13.42828841	18.44492663	13.44126834	16.37526833	1373.06962	48.58576071
ACP5	605.8973843	1935.201479	306.3125193	557.8198203	239.2770679	512.9313823	1062.475909	7633.960182
ADAM28	1943.742699	1148.120138	22.6897181	21.23331069	94.40581808	58.3112027	274.639997	360.6820442
ADAMDEC1	371.0335929	318.478799	44.61628687	47.43351387	48.39924584	106.301336	8524.022801	5004.969419
ADAMTS3	146.1955683	106.052311	42.39041586	57.38590645	50.81967419	54.79707074	32.34016681	33.35142773
ADRB2	486.3438163	510.0813396	899.6485015	595.2105488	2360.471299	664.8839501	787.6239741	363.1850058
AIF1	24.0742984	20.32185897	742.8158187	35.1722477	23.17042572	8655.680002	1611.228571	11610.29035
AIM2	327.9580556	4538.991046	294.4846139	250.2995803	134.4958651	536.1118999	2965.888162	148.2845223
ALOX15	12.23359461	13.75323798	9.774971658	12.00966261	9.776317635	9.800855372	5.412216318	430.3353048
ALOX5	1799.683549	2425.680554	78.68443963	132.0101224	121.9977952	1979.301155	83.30089783	248.3724724
AMPD1	263.7450621	217.7617272	66.1074899	85.31836726	60.67685001	98.2326067	62.39764428	59.95269372
ANGPT4	23.12217296	21.31255675	44.68465936	44.47513375	26.17664299	16.91869965	21.218127	11.8097012
ANKRD55	284.4126543	218.9158033	141.6981114	436.4203479	88.45957062	126.1078201	96.20392388	48.55417359
APOBEC3A	102.4291739	89.60068607	64.35533705	52.73721382	132.2193618	2415.197908	4501.140479	148.7993403
APOBEC3G	1283.451966	1135.293933	2090.85254	2340.674986	8895.302228	865.7405246	1036.993881	258.3004281
APOL3	222.6275107	530.3981335	1209.122376	1615.032254	1002.837652	1000.826958	11009.29392	437.5272083
APOL6	17.31182151	11.60650829	8.448971352	8.439383107	370.3966282	11.82068745	967.6451456	7.784612131
AQP9	21.34280658	15.11459289	13.67548268	14.8941249	12.57775597	2044.034835	4309.341662	399.4746192
ARHGAP22	34.63556475	48.31289928	45.01409912	22.63123607	27.39864055	54.80800174	351.5922058	272.9890572
ARRB1	15.93115384	15.19815814	19.09130442	25.18421938	138.9893405	440.2370047	946.0138184	395.5562302
ASGR1	40.87013431	42.49782741	12.18880923	13.27420938	15.2477554	976.7071792	25.23626149	155.4913385
ASGR2	30.26095627	33.90854185	29.78023761	41.82249473	29.87461252	1484.961048	26.3738691	760.7257707
